sN,State,Lat,Long,Depth,sand_content,silt_content,clay_content,pH,carbon_organic,nitrogen_total,phosphorous_extractable,calcium_extractable,potassium_extractable
OD253,Ondo,6.84231,5.13679,1,27.088,59.136,13.776,5.9,2.4339,0.312,29.69,8.5257488,0.0150781
OD254,Ondo,6.84138,5.22129,1,75.016,8.992,15.992,6.6,2.5536,0.134,34.05,16.767104,0.1088095
OD255,Ondo,6.84138,5.63996,1,75.16,10.416,14.424,7.3,1.7556,0.095,29.81,15.7880272,0.0671677
OD256,Ondo,6.84138,5.7237,1,53.16,8.704,38.136,6.4,2.394,0.089,27.58,12.0333152,0.0532871
OD257,Ondo,6.84496,4.85918,1,75.16,10.416,14.424,6.2,1.3566,0.322,30.72,11.3679232,0.0324662
OD258,Ondo,6.92377,4.63516,1,73.52,10.344,16.136,5.7,0.6975,0.219,26.49,6.4440224,0.0144811
OD259,Ondo,6.94403,4.71567,1,77.16,8.704,14.136,5.9,1.7955,0.158,21.89,10.4839024,0.0155259
OD260,Ondo,6.92377,4.88636,1,50.088,13.632,36.28,5.6,1.1571,0.082,22.43,11.0542384,0.0155259
OD261,Ondo,6.92491,5.05403,1,77.016,10.704,12.28,6.2,5.5187,0.316,25.34,11.4819904,0.0810483
OD262,Ondo,6.92377,5.13756,1,57.72,13.28,29,6.6,0.8778,0.066,26.06,7.4611216,0.1157498
OD264,Ondo,6.92325,5.30228,1,68.408,15.136,16.456,6.8,0.4788,0.253,28.24,11.1397888,0.1365707
OD265,Ondo,6.92629,5.39202,1,65.216,16.632,18.152,7.1,4.069,0.143,24.06,19.428672,0.0138841
OD266,Ondo,6.92413,5.47407,1,81.648,4.2,14.152,6.2,1.1571,0.125,28.3,12.6226624,0.2406752
OD267,Ondo,6.92252,5.54998,1,76.368,8.776,14.856,5.3,0.877,0.232,30.06,11.1873168,0.0175408
OD268,Ondo,6.93013,5.61997,1,83.792,5.208,11,7.1,1.197,0.143,26.18,13.440144,0.1296304
OD269,Ondo,6.92377,5.7237,1,84.584,3.208,12.208,5.9,0.8728,0.215,28.18,5.6360464,0.0188093
OD270,Ondo,6.93484,4.94943,1,52.584,35.208,12.208,6.3,0.8728,0.079,28.06,7.4611216,0.0116453
OD271,Ondo,6.99602,5.06556,1,44.584,13.208,42.208,6.1,1.0773,0.321,29.69,12.7082128,0.3170185
OD273,Ondo,7.013,4.90118,1,80.584,9.208,10.208,6.5,1.6357,0.174,25.64,10.8356096,0.1643319
OD274,Ondo,7.00731,4.98206,1,80.584,9.208,10.208,6.6,1.0773,0.247,27.58,7.0999088,0.1088095
OD275,Ondo,7.02755,4.70266,1,78.584,11.208,10.208,6.4,0.8379,0.216,30.3,6.0637984,0.016496
OD276,Ondo,7.06419,5.55106,1,76.584,13.208,10.208,6.5,0.8778,0.062,30.06,2.5467264,0.0177647
OD277,Ondo,7.07378,4.79672,1,60.656,9.136,30.208,6,0.5985,0.075,27.03,7.9649184,0.0394065
OD278,Ondo,7.09721,5.00175,1,76.584,11.208,12.208,6.3,1.6758,0.068,26.97,7.546672,0.3794812
OD279,Ondo,7.08854,4.63516,1,48.584,11.208,40.208,5.5,1.436,0.267,24.85,4.3337792,0.0136602
OD280,Ondo,7.08854,4.71889,1,76.584,9.208,14.208,5.1,0.8778,0.196,25.94,8.4211872,0.0144811
OD281,Ondo,7.08854,4.88636,1,79.288,6.056,14.656,6,1.72,0.161,28.79,5.2748336,0.1157498
OD282,Ondo,7.10255,5.03339,1,63.288,16.056,20.656,6.1,0.2633,0.061,27.88,12.9838752,0.0191826
OD283,Ondo,7.08854,5.22129,1,71.288,8.056,20.656,6.5,0.6381,0.104,21.46,9.4858144,0.1157498
OD284,Ondo,7.08854,5.30503,1,63.288,20.056,16.656,7.1,1.995,0.277,23.22,15.2842304,0.0185856
OD285,Ondo,7.08854,5.38876,1,67.288,12.056,20.656,6.7,1.9551,0.316,23.34,7.8698624,0.0155259
OD286,Ondo,7.08854,5.4725,1,83.288,4.056,12.656,5.7,2.79451,0.291,29.45,6.1303376,0.0144811
OD287,Ondo,7.08854,5.63996,1,71.288,10.056,18.656,6.6,2.22431,0.208,28.24,9.4382864,0.2059737
OD289,Ondo,7.09765,5.76941,1,67.448,16.488,16.064,5.9,2.314,0.251,30,8.1740416,0.0949289
OD290,Ondo,7.10503,5.11904,1,63.448,8.488,28.064,6.3,2.795,0.31,30.9,12.679696,0.0181378
OD291,Ondo,7.15876,5.20188,1,73.448,12.488,14.064,6.3,0.837,0.256,30,5.835664,0.0109736
OD292,Ondo,7.15838,4.71225,1,77.448,8.488,14.064,5.7,1.236,0.092,30.78,2.9079392,0.0116453
OD293,Ondo,7.16133,4.85389,1,73.448,12.488,14.064,6.5,2.992,0.184,29.15,11.4534736,0.0155259
OD294,Ondo,7.18185,4.79673,1,77.448,10.488,12.064,5.9,1.236,0.056,30.06,6.9193024,0.0810483
OD295,Ondo,7.17092,5.13756,1,83.448,4.488,12.064,7.8,1.077,0.161,31.21,14.8279616,0.0122423
OD296,Ondo,7.16397,5.30057,1,71.448,14.488,14.064,7.3,1.9551,0.119,26.79,17.3659568,0.1851528
OD297,Ondo,7.1704,5.37677,1,75.448,8.488,16.064,6.6,1.237,0.15,25.64,9.9135664,0.1226901
OD298,Ondo,7.17092,5.4725,1,75.448,12.488,12.064,6.5,0.558,0.063,28.48,4.4858688,0.3239588
